artist,song,line
Lil Wayne,Go DJ,"Now, you know I play it like a pro in the game"
Lil Wayne,Go DJ,And I move like the coupe through traffic
Lil Wayne,Run This Town,Riding this track like a motherfucking streetcar
Lil Wayne,Run This Town,"Man, I act a ass, treat the beat like a hem'rrhoid"
Lil Wayne,Run This Town,"Running circles 'round the game, like a hula hoop and shit"
Lil Wayne,Run This Town,"Yeah, we run this town, like a lot of feet"
JAY-Z,Moment of Clarity,"Like, ""Damn, that man's face is just like my face"""
Fabolous,Keepin it Gangsta Remix,Y'all little niggas lookin' up to me like the walls in Green Haven
Jean Grae,You Dont Know,I cut through it like a machete's built on my tongue
Jean Grae,You Dont Know,"I'm heavy man, like an ACME safe in a cartoon"
Jean Grae,You Dont Know,Jean turn your scream into murmurs like an irregular heartbeat
Jean Grae,You Dont Know,"Too hot and you know it, burn like a cock when you go piss"
Lil Wayne,You Ain’t Got Nuthin,"Ugh, I get money like a muh'fucka"
Lil Wayne,You Ain’t Got Nuthin,"Oh, I'm getting money like a muh'fucka (Mr. HD)"
Lil Wayne,You Ain’t Got Nuthin,"Ugh, ohh, I'm getting money like a muh'fucka"
Lil Wayne,You Ain’t Got Nuthin,"Oh, I'm getting money like a muh'fucka"
Lil Wayne,You Ain’t Got Nuthin,"Like the number after one, I'ma get me, too"
Lil Wayne,You Ain’t Got Nuthin,"Got paper like a fax machine, asi-neen"
Lil Wayne,You Ain’t Got Nuthin,"Deezle! Ugh, I'm getting money like a muh'fucka"
Lil Wayne,You Ain’t Got Nuthin,"Yeah, I'm getting money like a muh'fucka"
Lil Wayne,You Ain’t Got Nuthin,"Yeah, I'm gettin' money like a muh'fucka"
Lil Wayne,You Ain’t Got Nuthin,"Yeah, I'm getting money like a muh'fucka"
The Notorious B.I.G.,Dead Wrong,"The Visa, capisce-ah? I'm out like The Vapors"
The Notorious B.I.G.,Dead Wrong,"Hardcore, I got it sucked like a pussy"
Common,I Used to Love H.E.R.,"That she could make money, and she did it like a dummy"
De La Soul,Stakes is High,Positive contact just like my main man
De La Soul,Stakes is High,This issue is closed like an elevator door
Do or Die,Nobodys Home,Got me chillin like a star
Do or Die,Who Am I,I'm too delirious and serious I ain't like a nerd
Do or Die,Ultimate Shutdown,Like a mojo
Do or Die,All In The Club,I'm smellin' like a sack and
Wu-Tang Clan,Dog Shit,"On my body, treat me like a lolli and slob me down"
Wu-Tang Clan,Dog Shit,Your shirt look like a dish rag
Wu-Tang Clan,Dog Shit,"Nigga, your shirt look like a curtain"
Ludacris,Southern Hospitality,"Ho, don't you like my 20-inch ride?"
Young Money,BedRock,I like the way you walking if you walking my way
Jay Electronica,Exhibit A Transformations,And his own story was as curious as his narrative
Jay Electronica,Exhibit A Transformations,Life is like a dice game
The Notorious B.I.G.,Kick in the Door,I make it hot like a kettle get
Lil Wayne,Ain’t Got Time The W. Carter Collection,And my bitch looks like a DeBarge so I call her bait
Lil Wayne,Ain’t Got Time The W. Carter Collection,"I talk like a hustler, walk like a hustler"
Lil Wayne,Ain’t Got Time The W. Carter Collection,I'm rocking like a big pimp
JAY-Z,Izzo H.O.V.A.,I've seen hoop dreams deflate like a true fiend's weight
JAY-Z,A Week Ago,"Like a Brooklyn nigga, straight out of Brownsville"
JAY-Z,Cant Knock the Hustle,Me and my fam roll tight like The Firm
JAY-Z,Cant Knock the Hustle,"We get together like a choir, to acquire what we desire"
JAY-Z,Cant Knock the Hustle,"Slick like a gato, fucking Jay-Z"
JAY-Z,Cant Knock the Hustle,"Serve like Sampras, play fake rappers like a campus"
JAY-Z,Politics as Usual,The game changes like my mind just ain't right
JAY-Z,Politics as Usual,"Suckin' me in like a vacuum, I remember"
JAY-Z,Aint No Nigga,Ain't no nigga like the one I got
JAY-Z,Aint No Nigga,Ain't no nigga like the one I got
JAY-Z,Aint No Nigga,Ain't no nigga like the one I got
JAY-Z,Coming of Age,Life could be better like my man reclined in plush leather seats
JAY-Z,Coming of Age,"Hahah, I like your style (Nah, I like your style)"
JAY-Z,Coming of Age,"Hah, I like your résumé, pick a day, you can start"
JAY-Z,Cashmere Thoughts,"Like a hymen, when I'm rhyming with remarkable timing"
JAY-Z,Cashmere Thoughts,I'm smooth but deadly like a pearl handled pistol
JAY-Z,Cashmere Thoughts,"I'm solid gold, I rap like a mink stole"
JAY-Z,Cashmere Thoughts,"From nice to deadly like a bad bag of D, Now"
JAY-Z,Cashmere Thoughts,Notice the child swift like a Lotus
JAY-Z,Cashmere Thoughts,"'Cause I walk like a p-iy-imp, talk like a mack, man"
JAY-Z,Bring It On,"In a whip with dinero, crime organized like the Pharoahe"
JAY-Z,Bring It On,"Like the Mississippi Riv', looking jig"
JAY-Z,Bring It On,"That's real, mixed feelings like a mulatto"
JAY-Z,Regrets,But one of these buyers got eyes like a Korean
JAY-Z,Can I Live II,"Stand bowlegged like a bulldog, know what I mean, huh?"
JAY-Z,Cant Knock the Hustle Remix,My name is like a square
JAY-Z,Cant Knock the Hustle Remix,"Moan, turn those hollers to screams as we zone like a college team"
JAY-Z,Cant Knock the Hustle Remix,Like a rap star in front of the club
Public Enemy,Burn Hollywood Burn,"Pulled to the curb, getting played like a sucker"
Scarface,Guess Whos Back,"Play them corners like a safety, watching traffic switch"
Scarface,Guess Whos Back,"Shit, I used to hug a corner like a old deuce and a quarter"
Ghostface Killah,The Champ,Rip they guts out like a hysterectomy
Ghostface Killah,The Champ,I’m like the deuce of diamonds cutting spades on a glass table
The Coup,Fat Cats Bigga Fish,My teeth clenched tight like a fist in the cold sharp mist
The Coup,Fat Cats Bigga Fish,Step to Burger King to attack it like a Shaolin
The Coup,Fat Cats Bigga Fish,"Fresh, dressed like a million bucks"
The Coup,Fat Cats Bigga Fish,"Sat down, wrestled with my thoughts like a sumo"
The Coup,Pimps Free Stylin at the Fortune 500 Club,This is just like the stroll
The Coup,Pimps Free Stylin at the Fortune 500 Club,From getting treated like a piece of ol' booboo. Who
The Roots,Dont Feel Right,But it's still coming across like the bridge and tunnel vision
Too $hort,Cocktales,You don't like my dirty raps? You can go to hell
Too $hort,Cocktales,And go dig in them guts like a gardener
Too $hort,Cocktales,You don't like my dirty rap you can go to hell
Too $hort,Cocktales,She just like the freaks and she had to pass me that pussy
Too $hort,Cocktales,Like my other little tramp named Erica
Too $hort,Cocktales,You dont like my dirty raps you can go to hell
Do or Die,Money Flow,Just like a dirty kid flippin' on a matress
Do or Die,Money Flow,"Like a game of Spades, cut the bullshit"
Do or Die,Money Flow,"Givin' up the Ave. like a brother gonna pass up the ""Ho Check""?"
Do or Die,Money Flow,"I pimp lyrical tactics, just like a dirty kid flippin on a mattress"
Do or Die,Money Flow,"Then We dip through the Chi, in a truck like a Lexus"
Do or Die,Money Flow,The money flow like a rig-a-lin
2Pac,Bomb First My Second Reply,"Hysterical, spiritual lyrics like The Holy Qur'an"
2Pac,Bomb First My Second Reply,"See me rise, located worldwide like the art of graffiti"
Jadakiss,Death Wish,"Niggas snitching, put niggas in a can like a beverage"
Joe Budden,6 Minutes of Death,"I could supply you with work, little nigga, I'm like a temp agency"
Joe Budden,6 Minutes of Death,Soft white got the table looking like a ski slope
Joe Budden,6 Minutes of Death,So if you wanna get fresh like a Mentos mint
Joe Budden,6 Minutes of Death,While they trying to dap my hand like the Boy's Club logo
Joe Budden,6 Minutes of Death,Like the spice
The Notorious B.I.G.,I Love the Dough,"Play the charts like The Beatles, y'all adapt you lost"
Canibus,Second Round K.O.,"Frontin' like a drug-free role model, you disgust me"
Gucci Mane,Lemonade,"I like them Georgia peaches, but you look more like a lemon (Lemon)"
Das EFX,Mic Checka,I shake 'em up and down like the Dow Jones Average
Das EFX,Mic Checka,Do a spin like the Mack and I slide like Peggy Fleming
Das EFX,Mic Checka,He figgedy-fits the mold like the gold that's on his teeth
Red Cafe,Im Ill,DJ bring it back like a rental
Red Cafe,Im Ill,"I'm ""Ballin"" like a athlete"
Ice Cube,Steady Mobbin,Grubbin' like a motherfucker
Big Pun,Twinz Deep Cover 98,And stalk our prey like a predator
Nicki Minaj,Cuchi Shop,Super size all your sides like your biggie fries
DJ Quik,I Used to Know Her,But on my way I met bitch as sqaure as a box
Gang Starr,Work,Networking like a conference ‘cause the nonsense is yet to stop
Gang Starr,Work,"Crazy raw, doing my job like the mob"
Gang Starr,Work,Platinum respect like the force of a TEC
2Pac,Got My Mind Made Up,Shows my heart's as cold as the tundra
Fabolous,Breathe,My flow is like a coupe breezing at 90
Fabolous,Breathe,"Pop a few corks in it, as quick as a tick in a New York minute"
Fabolous,Breathe,'Til I tell 'em to breathe like a doctor with a stethoscope
Cassidy,Im a Hustla,"Fiend's open, they be smoking like a muffler, homey"
Cassidy,Im a Hustla,"With cops, got the block hot like a Jamaican clubs"
Method Man & Redman,How High,And so like a mushroom in cow shit
Method Man & Redman,How High,"Stalk the dead body like a vulture, Ticalion, hmm"
Method Man & Redman,How High,"Tical, I stays open like an all night store"
Method Man & Redman,How High,For real I keeps it ill like a piece of blue steel
Method Man & Redman,How High,I shift like a clutch with the Ruck
Method Man & Redman,How High,But I may murder your case like your name was Cal Brooks
dead prez,Mind Sex,"Pardon me, love, but you seem like my type"
dead prez,Mind Sex,"She's real, as real as the stars that shine in the heavens"
dead prez,Mind Sex,As real as the sun that bathes her body
dead prez,Mind Sex,As real as the moon that glows and the birds that sing and the rose
The Coup,Dig It,Pam cuts a record like a surgeon cuts a tumor from a brain
2Pac,Hit Em Up,"Smokin' dope, it's like a sherm high"
2Pac,Hit Em Up,"Like a loc, with Little Ceas' in a choke"
2Pac,Hit Em Up,I got 'em crossed as soon as the funk is boppin' off
Immortal Technique,Obnoxious,A ragin' alcoholic like the President's daughters
Immortal Technique,Obnoxious,And you won't do shit about it like the Church during the Holocaust
Drake,Over,I swear it feels like the last few nights
Drake,Over,I swear this life is like the sweetest thing I've ever known
Drake,Over,I swear it feels like the last few nights
Drake,Over,"Man, they treat me like a legend, am I really this cold?"
Drake,Over,I swear it feels like the last few nights
Dr. Dre,Whats the Difference,I smash the critics like a overhand right from Riddick (Yeah)
Dr. Dre,Whats the Difference,My style is like the reaction from too much acid—never come down!
Dr. Dre,Whats the Difference,That's for tryna talk like The Chronic was lost product
Reflection Eternal,In This World,"It's like a straitjacketMy rebel tactics got the planet spinning off it's axisThe devil laughing when you lazy, man get off your ass and"
Snoop Dogg,Doggy Dogg World,Usin' my styles like a contraceptive
T.I.,Im Back,Like a G I hold it down for the town I’m at
T.I.,Im Back,"Cause these guys, they don't ride like my nigga, you too"
T.I.,Im Back,Like a G I hold it down for the town I’m at
T.I.,Im Back,Like a G I hold it down for the town I’m at
50 Cent,Patiently Waiting,And it feels like my flow's been hot for so long (Yeah)
50 Cent,Patiently Waiting,"I'm innocent in my head, like a baby born dead"
50 Cent,Patiently Waiting,And it feels like my flow's been hot for so long (Yeah)
50 Cent,Patiently Waiting,And it feels like my flow's been hot for so long (Yeah)
50 Cent,Patiently Waiting,"It's like an angel came to you, sent from the heavens above"
50 Cent,Patiently Waiting,It's like a fight to the top just to see who'd die for the spot
50 Cent,Patiently Waiting,And it feels like my flow's been hot for so long (Yeah)
50 Cent,Patiently Waiting,"I'll split ya, leave you lookin' like the Michael Jackson jackets with all them zippers"
50 Cent,Patiently Waiting,And it feels like my flow's been hot for so long (Yeah)
50 Cent,Patiently Waiting,And it feels like my flow's been hot for so long (Yeah)
Kool G. Rap & DJ Polo,Rikers Island,"Snatchin chains, bustin brains, like a real hardrock"
Kool G. Rap & DJ Polo,Rikers Island,"Go out just like a trooper, stick out your chest"
Kool G. Rap & DJ Polo,Rikers Island,"Use your hands like a man, don't go out like a chump"
JAY-Z,A Million and One Questions Remix,"Oh Este, I got timing like a segue"
JAY-Z,A Million and One Questions Remix,"Like a baller in an Impala, Jigga remain low"
JAY-Z,Beware Jay-Z Remix,"Snake charmer, move your body like a snake, mama"
Fabolous,Cant Deny It,That can make it feel like the block's movin'
The Coup,The Shipment,Get low like a Smurf might -- earth is my birthright
The Coup,The Shipment,If you want green like Kermit keep it heated like a Thermos
The Coup,The Shipment,If you're snitching to Columbo we gon' drop you like a fumble
Cam'ron,Welcome to New York City,Wet niggas up like the Johnny-pump is open
The Coup,Me and Jesus the Pimp in a 79 Granada Last Night,"Well, he was smilin' like a vulture as he rolled up the horticulture"
The Coup,Me and Jesus the Pimp in a 79 Granada Last Night,"And matter of fact, she couldn't see him like a cataract"
The Coup,Me and Jesus the Pimp in a 79 Granada Last Night,"I said, ""He's missin' an arm, and he seem like a pee-pee head"""
The Coup,Me and Jesus the Pimp in a 79 Granada Last Night,Reached back and plowed into her head like a farm
The Coup,Me and Jesus the Pimp in a 79 Granada Last Night,"Fifteen years, but it seem like a century"
The Coup,Me and Jesus the Pimp in a 79 Granada Last Night,'Cause I was runnin' 'round like a little baby Jesus
Wiz Khalifa,Ink My Whole Body,Body marked up like a wall in the 80's
Wiz Khalifa,Ink My Whole Body,Speakers scream loud like a car full of babies
Wiz Khalifa,Ink My Whole Body,Body marked up like a subway in Harlem
Freeway,What We Do,"That's like my brother, like same mother, different father"
Mobb Deep,Survival of the Fittest,"I'm like a Jew, savin' dough so I can big whip"
Lil Wayne,Swag Surf,"Still ""long hair, don't care"" like a Navajo"
dead prez,Hell Yeah Remix,Repeat this cycle like a laundry mat
dead prez,Hell Yeah Remix,Like a glitch in the system it's hard to catch
Lloyd Banks,Beamer Benz or Bentley Remix,"Magazine, Mac, Desi, keep my windows like the Prezzie"
Lloyd Banks,Beamer Benz or Bentley Remix,Will have this whole bitch looking like the 4th of July
Lloyd Banks,Beamer Benz or Bentley Remix,And we hold heat like a motherfucking oven
Gucci Mane,Bingo,"Murcielago for El Gato, my house like a brothel"
Gucci Mane,Bingo,"Haters wanna hate, they’ll get shot like a free throw"
Gucci Mane,Bingo,"My bitch a dime, your bitch like a cinco"
Gucci Mane,Bingo,"Like a free throw, man I’m balling out"
Gucci Mane,Volume,Well you niggas keep on trying like the little engine that could
Gucci Mane,Volume,"So Icey Entertainment, boy, we just like a platoon"
Gucci Mane,Volume,Iced out bar got me ballin' like the Lakers
Fabolous,Pachanga,"Really she attract niggas like the ""A Milli"" beat"
Public Enemy,Bring the Noise,At the fact that's corrupt like a senator
Public Enemy,Bring the Noise,"From coast to coast, so you stop being like a comatose"
Gucci Mane,Gingerbread Man,Trees to that paper so im something like a kite
Gucci Mane,Gingerbread Man,Extra loud diamonds and its lookin like a light
Gucci Mane,Gingerbread Man,Burnt color diamonds like a sweet potato pie
Gucci Mane,Gingerbread Man,Hit ya color diamonds??? and get ratchet like a fly?
Esau,Esau vs. Blackmel,You look like the result of an unfinished abortion
